Description,Object,Complex
Fast,Cars,1
Cold,Waggon,2
Icy,Apple,3
Happy,Horse,4
Golden,House,5
Blue,Wheel,6
Green,Deer,7
Yellow,area,8
Cyan,book,9
Slow,business,0
Bitter,case,!
Bland,child,""""
Minty,company,£
Picked,country,$
Hard,day,%
Sharp,eye,^
Smooth,fact,&
Soft,family,*
Boiling,government,(
Breezy,group,)
Bumpy,hand,-
Chilly,home,+
Cold,job,=
Cool,life,?
Cuddly,lot,#
Damp,man,1
Dirty,money,2
Dry,month,3
Dusty,mother,4
Encrusted,Mr,5
Filthy,night,6
Flaky,number,7
Fluffy,part,8
Freezing,people,9
Fuzzy,place,0
Greasy,point,!
Hard,problem,""""
Hot,program,£
Icy,question,$
Loose,right,%
Melted,room,^
Painful,school,&
Prickly,state,*
Rough,story,(
Shaggy,student,)
Shaky,study,-
Sharp,system,+
Silky,thing,=
Slick,time,?
Slimy,water,#
Slippery,way,1
Smooth,week,2
Soft,woman,3
Solid,word,4
Sticky,work,5
Tender,world,6
Tight,year,7
Uneven,Cars,8
Warm,Waggon,9
Wet,Apple,0
Azure,Horse,!
Black,House,""""
Blue,Wheel,£
Bright,Deer,$
Brown,area,%
Crimson,book,^
Dark,business,&
Drab,case,*
Dull,child,(
Gold,company,)
Gray,country,-
Green,day,+
Indigo,eye,=
Lavender,fact,?
Light,family,#
Magenta,government,1
Multicolored,group,2
Mustard,hand,3
Orange,home,4
Pink,job,5
Pinkish,life,6
Purple,lot,7
Red,man,8
Rosy,money,9
Scarlet,month,0
Silver,mother,!
Turquoise,Mr,""""
Violet,night,£
White,number,$
Yellow,part,%
Abundant,people,^
Big-boned,place,&
Chubby,point,*
Fat,problem,(
Giant,program,)
Gigantic,question,-
Great,right,+
Huge,room,=
Immense,school,?
Jumbo,state,#
Large,story,1
Little,student,2
Long,study,3
Majestic,system,4
Mammoth,thing,5
Massive,time,6
Miniature,water,7
Petite,way,8
Puny,week,9
Scrawny,woman,0
Short,word,!
Small,work,""""
Tall,world,£
Teeny,year,$
Thin,Cars,%
Tiny,Waggon,^
Vast,Apple,&
Abrasive,Horse,*
Abrupt,House,(
Afraid,Wheel,)
Agreeable,Deer,-
Aggressive,area,+
Amiable,book,=
Amused,business,?
Angry,case,#
Annoyed,child,1
Ashamed,company,2
Bad,country,3
Bitter,day,4
Bewildered,eye,5
Boring,fact,6
Brave,family,7
Callous,government,8
Calm,group,9
Calming,hand,0
Charming,home,!
Cheerful,job,""""
Combative,life,£
Comfortable,lot,$
Defeated,man,%
Confused,money,^
Cooperative,month,&
Courageous,mother,*
Cowardly,Mr,(
Crabby,night,)
Creepy,number,-
Cross,part,+
Cruel,people,=
Dangerous,place,?
Defeated,point,#
Defiant,problem,1
Delightful,program,2
Depressed,question,3
Determined,right,4
Disgusted,room,5
Disturbed,school,6
Eager,state,7
Elated,story,8
Embarrassed,student,9
Enchanting,study,0
Embarrassed,system,!
Energetic,thing,""""
Enraged,time,£
Enthusiastic,water,$
Envious,way,%
Evil,week,^
Excited,woman,&
Exhausted,word,*
Exuberant,work,(
Fair,world,)
Faithful,year,-
Fantastic,Cars,+
Fierce,Waggon,=
Fine,Apple,?
Foolish,Horse,#
Frantic,House,1
Friendly,Wheel,2
Frightened,Deer,3
Funny,area,4
Furious,book,5
Gentle,business,6
Glib,case,7
Glorious,child,8
Good,company,9
Grateful,country,0
Grieving,day,!
Gusty,eye,""""
Gutless,fact,£
Happy,family,$
Healthy,government,%
Heinous,group,^
Helpless,hand,&
Hilarious,home,*
Hungry,job,(
Hurt,life,)
Hysterical,lot,-
Immoral,man,+
Impassioned,money,=
Indignant,month,?
Irate,mother,#
Itchy,Mr,1
Jealous,night,2
Jolly,number,3
Grumpy,part,4
Kind,people,5
Lazy,place,6
Lively,point,7
Lonely,problem,8
Lucky,program,9
Mad,question,0
Manic,right,!
Mysterious,room,""""
Nervous,school,£
Obedient,state,$
Obnoxious,story,%
Outrageous,student,^
Panicky,study,&
Perfect,system,*
Persuasive,thing,(
Pleasant,time,)
Proud,water,-
Quirky,way,+
Relieved,week,=
Repulsive,woman,?
Rundown,word,#
Sad,work,1
Scary,world,2
Selfish,year,3
Silly,Cars,4
Splendid,Waggon,5
Successful,Apple,6
Tedious,Horse,7
Tense,House,8
Terrible,Wheel,9
Thankful,Deer,0
Thoughtful,area,!
Thoughtless,book,""""
Tired,business,£
Troubled,case,$
Upset,child,%
Weak,company,^
Weary,country,&
Wicked,day,*
Worried,eye,(
Zany,fact,)
Zealous,family,-
